Name,avg_salary,avg_raptor,season_end,season_start
A.C. Green,2747885.067,-0.1,2001,1985
A.J. Bramlett,118974,-9.8,2000,1999
A.J. English,300000,-4.4,1992,1990
A.J. Guyton,267189,-5.566666667,2003,2000
A.J. Wynder,30000,-8.4,1991,1990
Aaron Brooks,1831293.909,-2.8,2018,2007
Aaron Gordon,4504865,0.4,2018,2014
Aaron Gray,1561984.571,-3.485714286,2014,2007
Aaron Harrison,358414.3333,-8.5,2018,2015
Aaron Jackson,4608,-21.2,2018,2017
Aaron McKie,2947524.933,-0.18,2007,1994
Aaron Miles,155614,-5.5,2006,2005
Aaron Swinson,102424,-6.4,1995,1994
Aaron Williams,1819173.615,-4.423076923,2008,1994
Abdel Nader,1167333,-7.3,2018,2017
Acie Earl,942500,-5.275,1997,1993
Acie Law,1414801.4,-5.52,2011,2007
Adam Harrington,140636,-12.2,2003,2002
Adam Keefe,2071111.111,-2.1,2001,1992
Adam Morrison,4344369.667,-5.466666667,2010,2006
Adonal Foyle,4432527.5,-3.821428571,2009,1997
Adonis Jordan,350000,7.3,1999,1998
Adrian Branch,150000,-0.9,1989,1988
Adrian Caldwell,188450,-7.48,1998,1990
Adrian Dantley,813000,0.86,1991,1984
Adrian Griffin,838303.1111,-0.288888889,2008,1999
AJ Hammons,650000,-9,2017,2016
AJ Price,604368.8,-1.54,2015,2009
Al Harrington,5089107,-2.170588235,2014,1998
Al Horford,11981774.73,1.454545455,2018,2007
Al Jefferson,9501377.5,-1.4,2018,2004
Al Thornton,2035729,-5.075,2011,2007
Al Wood,466666.6667,-1.733333333,1987,1984
Al-Farouq Aminu,4430970.5,0.3,2018,2010
Alaa Abdelnaby,568800,-8.98,1995,1990
Alan Anderson,1275061.286,-2.485714286,2017,2005
Alan Henderson,4212213.333,-1.725,2007,1995
Alan Ogg,166000,-3.85,1992,1990
Alan Williams,2329640.333,1.333333333,2018,2015
Alando Tucker,1001840,-4.2,2010,2007
Albert King,551000,-3.02,1989,1984
Alec Burks,5663097.286,-1.557142857,2018,2011
Alec Kessler,1101500,-5.05,1994,1990
Aleksandar Radojevic,1022903,-10.5,2005,1999
Alex Abrines,5859882,-1,2018,2016
Alex Acker,555139.5,-1.45,2009,2005
Alex Blackwell,140000,-5,1993,1992
Alex English,1394166.667,0.05,1991,1984
Alex Garcia,493488.5,-5.8,2005,2003
Alex Kirk,65000,-13.4,2015,2014
Alex Len,3992196,-3.2,2018,2013
Alex Poythress,284317.3333,-7.466666667,2018,2016
Alex Scales,24315,-5.1,2006,2005
Alex Stepheson,46332,2,2016,2015
Alex Stivrins,140000,-3.8,1993,1992
Alexander Johnson,550087,-4.65,2008,2006
Alexander Volkov,675000,0.2,1992,1991
Alexey Shved,3122222,-4.366666667,2015,2012
Alexis Ajinca,2332887.333,-2.7,2017,2008
Alfonzo McKinnie,815615,-4.3,2018,2017
Alfredrick Hughes,177830,-6.2,1986,1985
Allan Houston,8202625,-1.008333333,2005,1993
Allan Ray,412718,-1.5,2007,2006
Allen Crabbe,9910444,-1.15,2018,2014
Allen Iverson,10299629.67,1.593333333,2010,1996
